        nc     ,       np      ,      nTerms  
           2           1          34
         matIndTot                   GG
           1           0           0 ( -3.7958598020000003E-008, 0.74216689790000001     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) ( -3.7958598020000003E-008,-0.74216689790000001     )
           0           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           1 (  9.2159010492608751     ,  3.4645733744278231     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  9.2159010492608751     , -3.4645733744278231     )
           0           0           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           1           0 ( -2.0213774291126521E-003,  7.1508217461150776E-003) (  0.0000000000000000     ,  0.0000000000000000     )
           1           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) ( -2.0213774291126521E-003, -7.1508217461150776E-003)
           0           3           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           2 (  152.90788317666212     , -94.397309506889385     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  152.90788317666212     ,  94.397309506889385     )
           0           0           3 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           4           0           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           1           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           2           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           3           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           4           0 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           3           0           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           1           1 ( 0.29196027322092127     , -2.0483891825391778     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           2           1 (  0.0000000000000000     ,  0.0000000000000000     ) ( 0.29196027322092116     ,  2.0483891825391778     )
           0           3           1 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           2           0           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           1           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           2           2 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
           1           0           3 (  1724.4446158959076     , -6732.1183129401797     ) (  0.0000000000000000     ,  0.0000000000000000     )
           0           1           3 (  0.0000000000000000     ,  0.0000000000000000     ) (  1724.4446158959076     ,  6732.1183129401797     )
           0           0           4 (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
